নাম/পদবী,সম্ভাব্য ধর্ম
বাছাড়,হিন্দু
জ্যোতি,হিন্দু
শেখর,হিন্দু
হাগিদক,আদিবাসী
রোয়াজা,আদিবাসী
মিনজি,হিন্দু
গৌড়,হিন্দু
সিনহা,হিন্দু
অর্ণব,হিন্দু
পৃথ্বীরাজ,হিন্দু
চিসিক,আদিবাসী
মিশেল,খ্রিস্টান
কমল,হিন্দু
জেভিয়ার,খ্রিস্টান
ফ্রাঙ্কলিন,খ্রিস্টান
গোমেস,খ্রিস্টান
শুভজিৎ,হিন্দু
জোসেফ,খ্রিস্টান
দেবজানি,হিন্দু
ক্লারা,খ্রিস্টান
রড্রিগেজ,খ্রিস্টান
পূজা,হিন্দু
চ্যাম্বুগং,আদিবাসী
অরূপ,হিন্দু
গঙ্গোপাধ্যায়,হিন্দু
চট্টোপাধ্যায়,হিন্দু
বন্দ্যোপাধ্যায়,হিন্দু
মুখোপাধ্যায়,হিন্দু
রায়,হিন্দু
পুরকায়স্থ,হিন্দু
রায় বাহাদুর,হিন্দু
জোয়ার্দার,হিন্দু
রায়চৌধুরী,হিন্দু
দেওয়ান,হিন্দু
পটুয়া,হিন্দু
পাটোয়ারি,হিন্দু
ডাকুয়া,হিন্দু
আলম্বায়ন,হিন্দু
গোয়ালা,হিন্দু
খেয়াং,আদিবাসী
খাসিয়া,আদিবাসী
খারিয়া,আদিবাসী
খারওয়ার,আদিবাসী
খেড়োয়ার,আদিবাসী
খাড়িয়া,আদিবাসী
গায়েন,হিন্দু
সেয়ক,হিন্দু
বসুয়ারী,হিন্দু
বসুয়া,হিন্দু
রায়ী,হিন্দু
রায়গ্রাম,হিন্দু
পলসায়ী,হিন্দু
সিয়ারী,হিন্দু
সিয়ারা,হিন্দু
নায়ী,হিন্দু
নায়ারী,হিন্দু
নায়,হিন্দু
দায়ী,হিন্দু
দায়া,হিন্দু
কোঁয়ারী,হিন্দু
বড়ুয়া,বড়ুয়া
কোড়াইয়া,খ্রিস্টান
রিয়াজী,আদিবাসী
কোরায়া,খ্রিস্টান
আশিক,মুসলমান
